id,sr_id,sport,scheduled,season,season_type,event_name,status,home,visitor,link,series_summary,week,popularity,venue,participants,weather,broadcasts,is_free
21456,5f653c89-8800-4862-b642-6e73349326aa,NFL,2024-10-11 00:15:00,2024,REG,,scheduled,SEA,SF,/nfl/matchups/san-francisco-49ers-vs-seattle-seahawks/,,6,727,"{'name': 'Lumen Field', 'id': None, 'city': 'Seattle', 'state': 'WA', 'country': 'USA', 'zip': '98134', 'surface': 'artificial', 'stadium_type': 'outdoor'}","[{'id': 'SEA', 'name': 'Seahawks', 'link': '/nfl/teams/seattle-seahawks/', 'team': {'city': 'Seattle', 'abbreviation': 'SEA', 'conference': 'NFC', 'division': 'West', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'seattle-seahawks'}}, {'id': 'SF', 'name': '49ers', 'link': '/nfl/teams/san-francisco-49ers/', 'team': {'city': 'San Francisco', 'abbreviation': 'SF', 'conference': 'NFC', 'division': 'West', 'record': {'W': 2, 'L': 3, 'T': 0}, 'slug': 'san-francisco-49ers'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'Amazon Prime Video', 'type': 'tv'}]",True
21245,09f61bb9-572a-4790-a131-9c205522abfb,NFL,2024-10-13 13:30:00,2024,REG,,scheduled,CHI,JAC,/nfl/matchups/chicago-bears-vs-jacksonville-jaguars/,,6,151,"{'name': 'Tottenham Hotspur Stadium', 'id': None, 'city': 'London', 'state': '', 'country': 'GBR', 'zip': '', 'surface': 'artificial', 'stadium_type': 'outdoor'}","[{'id': 'CHI', 'name': 'Bears', 'link': '/nfl/teams/chicago-bears/', 'team': {'city': 'Chicago', 'abbreviation': 'CHI', 'conference': 'NFC', 'division': 'North', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'chicago-bears'}}, {'id': 'JAC', 'name': 'Jaguars', 'link': '/nfl/teams/jacksonville-jaguars/', 'team': {'city': 'Jacksonville', 'abbreviation': 'JAC', 'conference': 'AFC', 'division': 'South', 'record': {'W': 1, 'L': 4, 'T': 0}, 'slug': 'jacksonville-jaguars'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'NFL Network', 'type': 'tv'}]",False
21460,13fb75af-f494-4866-a505-5186a54aadc7,NFL,2024-10-13 17:00:00,2024,REG,,scheduled,NO,TB,/nfl/matchups/new-orleans-saints-vs-tampa-bay-buccaneers/,,6,89,"{'name': 'Caesars Superdome', 'id': None, 'city': 'New Orleans', 'state': 'LA', 'country': 'USA', 'zip': '70112', 'surface': 'artificial', 'stadium_type': 'dome'}","[{'id': 'NO', 'name': 'Saints', 'link': '/nfl/teams/new-orleans-saints/', 'team': {'city': 'New Orleans', 'abbreviation': 'NO', 'conference': 'NFC', 'division': 'South', 'record': {'W': 2, 'L': 3, 'T': 0}, 'slug': 'new-orleans-saints'}}, {'id': 'TB', 'name': 'Buccaneers', 'link': '/nfl/teams/tampa-bay-buccaneers/', 'team': {'city': 'Tampa Bay', 'abbreviation': 'TB', 'conference': 'NFC', 'division': 'South', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'tampa-bay-buccaneers'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'FOX', 'type': 'tv'}]",False
21461,6e73d4c1-01fa-4bf2-b1f5-5fdef567023f,NFL,2024-10-13 17:00:00,2024,REG,,scheduled,GB,ARI,/nfl/matchups/arizona-cardinals-vs-green-bay-packers/,,6,97,"{'name': 'Lambeau Field', 'id': None, 'city': 'Green Bay', 'state': 'WI', 'country': 'USA', 'zip': '54304', 'surface': 'turf', 'stadium_type': 'outdoor'}","[{'id': 'GB', 'name': 'Packers', 'link': '/nfl/teams/green-bay-packers/', 'team': {'city': 'Green Bay', 'abbreviation': 'GB', 'conference': 'NFC', 'division': 'North', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'green-bay-packers'}}, {'id': 'ARI', 'name': 'Cardinals', 'link': '/nfl/teams/arizona-cardinals/', 'team': {'city': 'Arizona', 'abbreviation': 'ARI', 'conference': 'NFC', 'division': 'West', 'record': {'W': 2, 'L': 3, 'T': 0}, 'slug': 'arizona-cardinals'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'FOX', 'type': 'tv'}]",False
21462,6e78054c-55e4-4d09-a121-1b46205869ac,NFL,2024-10-13 17:00:00,2024,REG,,scheduled,TEN,IND,/nfl/matchups/indianapolis-colts-vs-tennessee-titans/,,6,81,"{'name': 'Nissan Stadium', 'id': None, 'city': 'Nashville', 'state': 'TN', 'country': 'USA', 'zip': '37213', 'surface': 'turf', 'stadium_type': 'outdoor'}","[{'id': 'TEN', 'name': 'Titans', 'link': '/nfl/teams/tennessee-titans/', 'team': {'city': 'Tennessee', 'abbreviation': 'TEN', 'conference': 'AFC', 'division': 'South', 'record': {'W': 1, 'L': 3, 'T': 0}, 'slug': 'tennessee-titans'}}, {'id': 'IND', 'name': 'Colts', 'link': '/nfl/teams/indianapolis-colts/', 'team': {'city': 'Indianapolis', 'abbreviation': 'IND', 'conference': 'AFC', 'division': 'South', 'record': {'W': 2, 'L': 3, 'T': 0}, 'slug': 'indianapolis-colts'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'CBS', 'type': 'tv'}]",False
21463,cc2f6c53-7226-4fa6-a3c4-67a431c70b93,NFL,2024-10-13 17:00:00,2024,REG,,scheduled,PHI,CLE,/nfl/matchups/cleveland-browns-vs-philadelphia-eagles/,,6,93,"{'name': 'Lincoln Financial Field', 'id': None, 'city': 'Philadelphia', 'state': 'PA', 'country': 'USA', 'zip': '19148', 'surface': 'turf', 'stadium_type': 'outdoor'}","[{'id': 'PHI', 'name': 'Eagles', 'link': '/nfl/teams/philadelphia-eagles/', 'team': {'city': 'Philadelphia', 'abbreviation': 'PHI', 'conference': 'NFC', 'division': 'East', 'record': {'W': 2, 'L': 2, 'T': 0}, 'slug': 'philadelphia-eagles'}}, {'id': 'CLE', 'name': 'Browns', 'link': '/nfl/teams/cleveland-browns/', 'team': {'city': 'Cleveland', 'abbreviation': 'CLE', 'conference': 'AFC', 'division': 'North', 'record': {'W': 1, 'L': 4, 'T': 0}, 'slug': 'cleveland-browns'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'FOX', 'type': 'tv'}]",False
21464,e082956c-1350-4d9c-a6e9-444c48471a9b,NFL,2024-10-13 17:00:00,2024,REG,,scheduled,NE,HOU,/nfl/matchups/houston-texans-vs-new-england-patriots/,,6,99,"{'name': 'Gillette Stadium', 'id': None, 'city': 'Foxborough', 'state': 'MA', 'country': 'USA', 'zip': '02035', 'surface': 'artificial', 'stadium_type': 'outdoor'}","[{'id': 'NE', 'name': 'Patriots', 'link': '/nfl/teams/new-england-patriots/', 'team': {'city': 'New England', 'abbreviation': 'NE', 'conference': 'AFC', 'division': 'East', 'record': {'W': 1, 'L': 4, 'T': 0}, 'slug': 'new-england-patriots'}}, {'id': 'HOU', 'name': 'Texans', 'link': '/nfl/teams/houston-texans/', 'team': {'city': 'Houston', 'abbreviation': 'HOU', 'conference': 'AFC', 'division': 'South', 'record': {'W': 4, 'L': 1, 'T': 0}, 'slug': 'houston-texans'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'CBS', 'type': 'tv'}]",False
21465,ebbbb0f7-6445-4360-b193-ace9f821b0a4,NFL,2024-10-13 17:00:00,2024,REG,,scheduled,BAL,WAS,/nfl/matchups/baltimore-ravens-vs-washington-commanders/,,6,165,"{'name': 'M&T Bank Stadium', 'id': None, 'city': 'Baltimore', 'state': 'MD', 'country': 'USA', 'zip': '21230', 'surface': 'turf', 'stadium_type': 'outdoor'}","[{'id': 'BAL', 'name': 'Ravens', 'link': '/nfl/teams/baltimore-ravens/', 'team': {'city': 'Baltimore', 'abbreviation': 'BAL', 'conference': 'AFC', 'division': 'North', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'baltimore-ravens'}}, {'id': 'WAS', 'name': 'Commanders', 'link': '/nfl/teams/washington-commanders/', 'team': {'city': 'Washington', 'abbreviation': 'WAS', 'conference': 'NFC', 'division': 'East', 'record': {'W': 4, 'L': 1, 'T': 0}, 'slug': 'washington-commanders'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'CBS', 'type': 'tv'}]",False
21472,3cb822b0-82f9-4f8b-92f2-c8dc7066e4fa,NFL,2024-10-13 20:05:00,2024,REG,,scheduled,DEN,LAC,/nfl/matchups/denver-broncos-vs-los-angeles-chargers/,,6,111,"{'name': 'Empower Field at Mile High', 'id': None, 'city': 'Denver', 'state': 'CO', 'country': 'USA', 'zip': '80204', 'surface': 'turf', 'stadium_type': 'outdoor'}","[{'id': 'DEN', 'name': 'Broncos', 'link': '/nfl/teams/denver-broncos/', 'team': {'city': 'Denver', 'abbreviation': 'DEN', 'conference': 'AFC', 'division': 'West', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'denver-broncos'}}, {'id': 'LAC', 'name': 'Chargers', 'link': '/nfl/teams/los-angeles-chargers/', 'team': {'city': 'Los Angeles', 'abbreviation': 'LAC', 'conference': 'AFC', 'division': 'West', 'record': {'W': 2, 'L': 2, 'T': 0}, 'slug': 'los-angeles-chargers'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'CBS', 'type': 'tv'}]",False
21473,d1f653b8-07dc-4b19-86b4-6a557247198a,NFL,2024-10-13 20:05:00,2024,REG,,scheduled,LV,PIT,/nfl/matchups/las-vegas-raiders-vs-pittsburgh-steelers/,,6,91,"{'name': 'Allegiant Stadium', 'id': None, 'city': 'Las Vegas', 'state': 'NV', 'country': 'USA', 'zip': '89118', 'surface': 'turf', 'stadium_type': 'dome'}","[{'id': 'LV', 'name': 'Raiders', 'link': '/nfl/teams/las-vegas-raiders/', 'team': {'city': 'Las Vegas', 'abbreviation': 'LV', 'conference': 'AFC', 'division': 'West', 'record': {'W': 2, 'L': 3, 'T': 0}, 'slug': 'las-vegas-raiders'}}, {'id': 'PIT', 'name': 'Steelers', 'link': '/nfl/teams/pittsburgh-steelers/', 'team': {'city': 'Pittsburgh', 'abbreviation': 'PIT', 'conference': 'AFC', 'division': 'North', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'pittsburgh-steelers'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'CBS', 'type': 'tv'}]",False
21474,19bc4a68-74f3-436f-8011-ebde53658075,NFL,2024-10-13 20:25:00,2024,REG,,scheduled,CAR,ATL,/nfl/matchups/atlanta-falcons-vs-carolina-panthers/,,6,100,"{'name': 'Bank of America Stadium', 'id': None, 'city': 'Charlotte', 'state': 'NC', 'country': 'USA', 'zip': '28202', 'surface': 'artificial', 'stadium_type': 'outdoor'}","[{'id': 'CAR', 'name': 'Panthers', 'link': '/nfl/teams/carolina-panthers/', 'team': {'city': 'Carolina', 'abbreviation': 'CAR', 'conference': 'NFC', 'division': 'South', 'record': {'W': 1, 'L': 4, 'T': 0}, 'slug': 'carolina-panthers'}}, {'id': 'ATL', 'name': 'Falcons', 'link': '/nfl/teams/atlanta-falcons/', 'team': {'city': 'Atlanta', 'abbreviation': 'ATL', 'conference': 'NFC', 'division': 'South', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'atlanta-falcons'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'FOX', 'type': 'tv'}]",False
21475,834e4e99-909f-4755-b509-540356c9e183,NFL,2024-10-13 20:25:00,2024,REG,,scheduled,DAL,DET,/nfl/matchups/dallas-cowboys-vs-detroit-lions/,,6,119,"{'name': 'AT&T Stadium', 'id': None, 'city': 'Arlington', 'state': 'TX', 'country': 'USA', 'zip': '76011', 'surface': 'artificial', 'stadium_type': 'retractable_dome'}","[{'id': 'DAL', 'name': 'Cowboys', 'link': '/nfl/teams/dallas-cowboys/', 'team': {'city': 'Dallas', 'abbreviation': 'DAL', 'conference': 'NFC', 'division': 'East', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'dallas-cowboys'}}, {'id': 'DET', 'name': 'Lions', 'link': '/nfl/teams/detroit-lions/', 'team': {'city': 'Detroit', 'abbreviation': 'DET', 'conference': 'NFC', 'division': 'North', 'record': {'W': 3, 'L': 1, 'T': 0}, 'slug': 'detroit-lions'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'FOX', 'type': 'tv'}]",False
21476,2315028f-b91b-41c7-a964-c77b8607f605,NFL,2024-10-14 00:20:00,2024,REG,,scheduled,NYG,CIN,/nfl/matchups/cincinnati-bengals-vs-new-york-giants/,,6,96,"{'name': 'MetLife Stadium', 'id': None, 'city': 'East Rutherford', 'state': 'NJ', 'country': 'USA', 'zip': '07073', 'surface': 'artificial', 'stadium_type': 'outdoor'}","[{'id': 'NYG', 'name': 'Giants', 'link': '/nfl/teams/new-york-giants/', 'team': {'city': 'New York', 'abbreviation': 'NYG', 'conference': 'NFC', 'division': 'East', 'record': {'W': 2, 'L': 3, 'T': 0}, 'slug': 'new-york-giants'}}, {'id': 'CIN', 'name': 'Bengals', 'link': '/nfl/teams/cincinnati-bengals/', 'team': {'city': 'Cincinnati', 'abbreviation': 'CIN', 'conference': 'AFC', 'division': 'North', 'record': {'W': 1, 'L': 4, 'T': 0}, 'slug': 'cincinnati-bengals'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'NBC', 'type': 'tv'}]",True
21488,d64ecfa1-b9b8-4286-b131-40f3c2b3ad4e,NFL,2024-10-15 00:15:00,2024,REG,,scheduled,NYJ,BUF,/nfl/matchups/buffalo-bills-vs-new-york-jets/,,6,98,"{'name': 'MetLife Stadium', 'id': None, 'city': 'East Rutherford', 'state': 'NJ', 'country': 'USA', 'zip': '07073', 'surface': 'artificial', 'stadium_type': 'outdoor'}","[{'id': 'NYJ', 'name': 'Jets', 'link': '/nfl/teams/new-york-jets/', 'team': {'city': 'New York', 'abbreviation': 'NYJ', 'conference': 'AFC', 'division': 'East', 'record': {'W': 2, 'L': 3, 'T': 0}, 'slug': 'new-york-jets'}}, {'id': 'BUF', 'name': 'Bills', 'link': '/nfl/teams/buffalo-bills/', 'team': {'city': 'Buffalo', 'abbreviation': 'BUF', 'conference': 'AFC', 'division': 'East', 'record': {'W': 3, 'L': 2, 'T': 0}, 'slug': 'buffalo-bills'}}]","{'forecast_temp': 0, 'forecast_wind_speed': 0, 'forecast_wind_direction': None, 'forecast_wind_degree': 0, 'forecast_rain_chance': 0, 'forecast_icon': None, 'forecast_pressure': 0, 'forecast_humidity': 0}","[{'network': 'ESPN', 'type': 'tv'}]",True
